doi,oa_roadoi,oa_status,oa_match
10.1001/jama.2018.16773,green,bronze,FALSE
10.1001/jamaoncol.2018.0077,green,bronze,FALSE
10.1001/jamaoncol.2018.2706,hybrid,hybrid,TRUE
10.1001/jamasurg.2018.0996,green,bronze,FALSE
10.1002/acn3.572,gold,gold,TRUE
10.1002/ajh.25086,green,bronze,FALSE
10.1002/ajmg.b.32593,green,green,TRUE
10.1002/ana.25216,closed,closed,TRUE
10.1002/art.40420,hybrid,hybrid,TRUE
10.1002/art.40466,hybrid,hybrid,TRUE
10.1002/art.40498,green,green,TRUE
10.1002/art.40590,green,green,TRUE
10.1002/cam4.1719,gold,gold,TRUE
10.1002/ccd.27313,closed,closed,TRUE
10.1002/clc.22994,green,bronze,FALSE
10.1002/cnm.3147,hybrid,hybrid,TRUE
10.1002/cyto.a.23526,bronze,bronze,TRUE
10.1002/eat.22840,closed,closed,TRUE
10.1002/ehf2.12231,gold,gold,TRUE
10.1002/ejhf.1244,green,bronze,FALSE
10.1002/ejhf.1362,bronze,bronze,TRUE
10.1002/ejp.1145,bronze,bronze,TRUE
10.1002/gcc.22645,closed,closed,TRUE
10.1002/glia.23292,closed,closed,TRUE
10.1002/ijc.31062,green,bronze,FALSE
10.1002/ijc.31300,bronze,bronze,TRUE
10.1002/jbio.201700169,closed,closed,TRUE
10.1002/jbio.201700355,closed,closed,TRUE
10.1002/jbm.a.36470,closed,closed,TRUE
10.1002/jbmr.3454,bronze,bronze,TRUE
10.1002/jmri.26007,closed,closed,TRUE
10.1002/mabi.201800116,closed,closed,TRUE
10.1002/micr.30205,closed,closed,TRUE
10.1002/mrm.26968,green,green,TRUE
10.1002/mrm.26983,closed,closed,TRUE
10.1002/pros.23685,closed,closed,TRUE
10.1002/term.2410,closed,closed,TRUE
10.1002/wps.20579,green,bronze,FALSE
10.1007/s00038-017-0987-0,hybrid,hybrid,TRUE
10.1007/s00038-017-0998-x,hybrid,hybrid,TRUE
10.1007/s00038-017-0999-9,hybrid,hybrid,TRUE
10.1007/s00038-017-1000-7,hybrid,hybrid,TRUE
10.1007/s00059-017-4654-2,closed,closed,TRUE
10.1007/s00059-018-4729-8,closed,closed,TRUE
10.1007/s00064-018-0539-7,closed,closed,TRUE
10.1007/s00066-017-1247-1,closed,closed,TRUE
10.1007/s00101-017-0399-9,closed,closed,TRUE
10.1007/s00104-018-0653-y,closed,closed,TRUE
10.1007/s00104-018-0658-6,closed,closed,TRUE
10.1007/s00106-017-0423-z,closed,closed,TRUE
10.1007/s00106-017-0462-5,closed,closed,TRUE
10.1007/s00106-017-0463-4,closed,closed,TRUE
10.1007/s00108-018-0483-5,closed,closed,TRUE
10.1007/s00108-018-0499-x,closed,closed,TRUE
10.1007/s00120-018-0644-0,closed,closed,TRUE
10.1007/s00127-018-1489-y,closed,closed,TRUE
10.1007/s00129-018-4236-2,closed,closed,TRUE
10.1007/s00204-018-2295-8,green,green,TRUE
10.1007/s00210-018-1507-3,hybrid,hybrid,TRUE
10.1007/s00223-017-0332-x,closed,closed,TRUE
10.1007/s00238-017-1345-4,closed,closed,TRUE
10.1007/s00262-018-2151-y,closed,closed,TRUE
10.1007/s00270-018-2018-9,hybrid,hybrid,TRUE
10.1007/s00292-018-0433-y,closed,closed,TRUE
10.1007/s00292-018-0435-9,hybrid,hybrid,TRUE
10.1007/s00292-018-0436-8,closed,closed,TRUE
10.1007/s00292-018-0530-y,closed,closed,TRUE
10.1007/s00330-018-5322-5,green,green,TRUE
10.1007/s00381-018-3894-7,closed,closed,TRUE
10.1007/s00384-018-2969-y,closed,closed,TRUE
10.1007/s00391-016-1132-z,closed,closed,TRUE
10.1007/s00391-017-1187-5,closed,closed,TRUE
10.1007/s00392-018-1281-8,closed,closed,TRUE
10.1007/s00393-017-0294-4,closed,closed,TRUE
10.1007/s00393-018-0436-3,closed,closed,TRUE
10.1007/s00401-018-1808-0,closed,closed,TRUE
10.1007/s00401-018-1837-8,green,green,TRUE
10.1007/s00402-018-2977-y,closed,closed,TRUE
10.1007/s00404-017-4568-5,closed,closed,TRUE
10.1007/s00404-017-4574-7,closed,closed,TRUE
10.1007/s00404-018-4710-z,closed,closed,TRUE
10.1007/s00406-017-0859-x,closed,closed,TRUE
10.1007/s00406-018-0924-0,green,green,TRUE
10.1007/s00406-018-0927-x,closed,closed,TRUE
10.1007/s00415-018-9056-8,closed,closed,TRUE
10.1007/s00417-017-3882-8,closed,closed,TRUE
10.1007/s00417-018-3929-5,closed,closed,TRUE
10.1007/s00418-018-1664-y,hybrid,hybrid,TRUE
10.1007/s00428-017-2288-7,hybrid,hybrid,TRUE
10.1007/s00432-018-2604-x,hybrid,hybrid,TRUE
10.1007/s00441-018-2848-4,closed,closed,TRUE
10.1007/s00464-017-5912-3,hybrid,hybrid,TRUE
10.1007/s00464-018-6141-0,closed,closed,TRUE
10.1007/s00508-018-1370-8,closed,closed,TRUE
10.1007/s00701-017-3397-4,closed,closed,TRUE
10.1007/s00701-017-3428-1,closed,closed,TRUE
10.1007/s00701-018-3580-2,closed,closed,TRUE
10.1007/s00705-018-3843-5,green,bronze,FALSE
10.1007/s00761-018-0380-5,closed,closed,TRUE
10.1007/s00761-018-0405-0,closed,closed,TRUE
10.1007/s00761-018-0417-9,closed,closed,TRUE
10.1007/s11136-018-1785-8,green,green,TRUE
10.1007/s11239-018-1732-0,closed,closed,TRUE
10.1007/s11553-017-0610-5,closed,closed,TRUE
10.1007/s11757-018-0504-1,closed,closed,TRUE
10.1007/s12035-017-0473-y,closed,closed,TRUE
10.1007/s12035-017-0698-9,green,green,TRUE
10.1007/s12603-018-1139-9,closed,closed,TRUE
10.1007/s40259-018-0320-3,closed,closed,TRUE
10.1016/j.amjcard.2018.07.039,closed,closed,TRUE
10.1016/j.antiviral.2018.07.017,hybrid,hybrid,TRUE
10.1016/j.asjsur.2016.07.015,gold,gold,TRUE
10.1016/j.avsg.2018.01.095,closed,closed,TRUE
10.1016/j.bbalip.2018.08.001,closed,closed,TRUE
10.1016/j.bbalip.2018.09.006,closed,closed,TRUE
10.1016/j.bbamem.2018.01.019,hybrid,hybrid,TRUE
10.1016/j.bbrc.2018.07.161,closed,closed,TRUE
10.1016/j.biopha.2018.06.171,closed,closed,TRUE
10.1016/j.bone.2018.05.028,closed,closed,TRUE
10.1016/j.brs.2018.08.006,closed,closed,TRUE
10.1016/j.cca.2018.02.026,closed,closed,TRUE
10.1016/j.cell.2018.01.008,green,bronze,FALSE
10.1016/j.chom.2018.04.002,bronze,bronze,TRUE
10.1016/j.clim.2017.07.023,closed,closed,TRUE
10.1016/j.clinthera.2018.10.008,hybrid,hybrid,TRUE
10.1016/j.clnu.2017.01.001,closed,closed,TRUE
10.1016/j.clnu.2017.09.027,hybrid,hybrid,TRUE
10.1016/j.cmi.2017.10.015,green,bronze,FALSE
10.1016/j.conb.2018.04.003,closed,closed,TRUE
10.1016/j.crad.2018.04.003,closed,closed,TRUE
10.1016/j.dental.2018.06.004,closed,closed,TRUE
10.1016/j.ebiom.2018.05.032,gold,gold,TRUE
10.1016/j.ebiom.2018.07.002,gold,gold,TRUE
10.1016/j.ebiom.2018.07.017,gold,gold,TRUE
10.1016/j.ejca.2017.11.020,closed,closed,TRUE
10.1016/j.ejca.2018.02.022,closed,closed,TRUE
10.1016/j.ejrad.2018.05.011,closed,closed,TRUE
10.1016/j.euroneuro.2017.12.005,closed,closed,TRUE
10.1016/j.euroneuro.2018.08.507,closed,closed,TRUE
10.1016/j.exger.2017.10.018,closed,closed,TRUE
10.1016/j.expneurol.2018.04.014,closed,closed,TRUE
10.1016/j.expneurol.2018.05.012,closed,closed,TRUE
10.1016/j.fsigen.2018.05.007,closed,closed,TRUE
10.1016/j.ijbiomac.2017.09.015,closed,closed,TRUE
10.1016/j.ijbiomac.2017.11.055,green,green,TRUE
10.1016/j.ijcard.2017.11.082,hybrid,hybrid,TRUE
10.1016/j.ijcard.2018.08.079,bronze,bronze,TRUE
10.1016/j.ijid.2017.10.008,gold,gold,TRUE
10.1016/j.immuni.2018.02.015,green,bronze,FALSE
10.1016/j.injury.2018.06.032,closed,closed,TRUE
10.1016/j.jacc.2018.06.050,green,bronze,FALSE
10.1016/j.jaci.2017.08.037,bronze,bronze,TRUE
10.1016/j.jaci.2017.10.018,bronze,bronze,TRUE
10.1016/j.jaci.2018.01.052,bronze,bronze,TRUE
10.1016/j.jcct.2018.03.010,closed,closed,TRUE
10.1016/j.jcf.2018.05.003,bronze,bronze,TRUE
10.1016/j.jcf.2018.05.006,bronze,bronze,TRUE
10.1016/j.jcin.2017.10.016,bronze,bronze,TRUE
10.1016/j.jcin.2018.05.029,hybrid,hybrid,TRUE
10.1016/j.jcmg.2017.07.029,bronze,bronze,TRUE
10.1016/j.jcms.2018.05.039,closed,closed,TRUE
10.1016/j.jcv.2018.01.018,closed,closed,TRUE
10.1016/j.jdent.2018.05.022,green,green,TRUE
10.1016/j.jdent.2018.07.011,closed,closed,TRUE
10.1016/j.jdermsci.2017.12.018,bronze,bronze,TRUE
10.1016/j.jneuroim.2018.03.005,hybrid,hybrid,TRUE
10.1016/j.jpeds.2018.05.014,closed,closed,TRUE
10.1016/j.jprot.2017.12.005,closed,closed,TRUE
10.1016/j.jsbmb.2017.11.008,closed,closed,TRUE
10.1016/j.jsxm.2018.02.021,closed,closed,TRUE
10.1016/j.lpm.2018.05.016,closed,closed,TRUE
10.1016/j.msard.2018.04.006,closed,closed,TRUE
10.1016/j.neo.2018.01.007,gold,gold,TRUE
10.1016/j.neubiorev.2017.09.004,green,green,TRUE
10.1016/j.neuroimage.2017.10.031,hybrid,hybrid,TRUE
10.1016/j.neuroimage.2017.12.074,green,green,TRUE
10.1016/j.neuroimage.2018.05.025,green,green,TRUE
10.1016/j.neuron.2017.12.002,hybrid,hybrid,TRUE
10.1016/j.neuron.2018.06.005,green,bronze,FALSE
10.1016/j.neuron.2018.08.004,bronze,bronze,TRUE
10.1016/j.nicl.2017.11.020,gold,gold,TRUE
10.1016/j.nicl.2017.12.023,gold,gold,TRUE
10.1016/j.nicl.2018.04.031,gold,gold,TRUE
10.1016/j.nicl.2018.05.004,gold,gold,TRUE
10.1016/j.numecd.2018.02.004,closed,closed,TRUE
10.1016/j.pjnns.2017.10.004,green,green,TRUE
10.1016/j.preghy.2017.11.001,closed,closed,TRUE
10.1016/j.pscychresns.2018.08.011,closed,closed,TRUE
10.1016/j.radonc.2017.10.008,closed,closed,TRUE
